Time,Oxygen Level,Pulse Rate,Motion,O2 Reminder,PR Reminder
19:39:03 Jul 16 2025,99,121,23,0,0
19:39:05 Jul 16 2025,99,121,18,0,0
19:39:07 Jul 16 2025,99,120,24,0,0
19:39:09 Jul 16 2025,99,119,18,0,0
19:39:11 Jul 16 2025,99,120,22,0,0
19:39:13 Jul 16 2025,98,119,16,0,0
19:39:15 Jul 16 2025,98,118,21,0,0
19:39:17 Jul 16 2025,97,118,21,0,0
19:39:19 Jul 16 2025,97,117,18,0,0
19:39:21 Jul 16 2025,97,116,23,0,0
19:39:23 Jul 16 2025,97,116,19,0,0
19:39:25 Jul 16 2025,97,116,22,0,0
19:39:27 Jul 16 2025,97,116,20,0,0
19:39:29 Jul 16 2025,97,116,29,0,0
19:39:31 Jul 16 2025,97,116,16,0,0
19:39:33 Jul 16 2025,97,116,22,0,0
19:39:35 Jul 16 2025,97,116,18,0,0
19:39:37 Jul 16 2025,97,116,19,0,0
19:39:39 Jul 16 2025,97,116,23,0,0
19:39:41 Jul 16 2025,97,116,27,0,0
19:39:43 Jul 16 2025,97,116,28,0,0
19:39:45 Jul 16 2025,98,117,20,0,0
19:39:47 Jul 16 2025,98,117,25,0,0
19:39:49 Jul 16 2025,98,117,19,0,0
19:39:51 Jul 16 2025,97,117,30,0,0
19:39:53 Jul 16 2025,98,118,23,0,0
19:39:55 Jul 16 2025,97,118,24,0,0
19:39:57 Jul 16 2025,97,118,26,0,0
19:39:59 Jul 16 2025,97,118,21,0,0
19:40:01 Jul 16 2025,97,118,25,0,0
